14:11:48 HHC02292I Inst '47'   count     20650078 (21%) time       209777 (  0.010159) BC    0,0(0,0)               branch_on_condition
14:11:48 HHC02292I Inst '58'   count     13712176 (14%) time       131962 (  0.009624) L     0,0(0,0)               load
14:11:48 HHC02292I Inst '91'   count      5083639 ( 5%) time        48752 (  0.009590) TM    0(0),0                 test_under_mask
14:11:48 HHC02292I Inst '18'   count      4795116 ( 5%) time        44066 (  0.009190) LR    0,0                    load_register
14:11:48 HHC02292I Inst '50'   count      4655402 ( 4%) time        46222 (  0.009929) ST    0,0(0,0)               store
14:11:48 HHC02292I Inst '41'   count      3997864 ( 4%) time        40008 (  0.010007) LA    0,0(0,0)               load_address
14:11:48 HHC02292I Inst '1F'   count      3362200 ( 3%) time        31621 (  0.009405) SLR   0,0                    subtract_logical_register
14:11:48 HHC02292I Inst '07'   count      3022926 ( 3%) time        44518 (  0.014727) BCR   0,0                    branch_on_condition_register
14:11:48 HHC02292I Inst '12'   count      2899358 ( 3%) time        28165 (  0.009714) LTR   0,0                    load_and_test_register
14:11:48 HHC02292I Inst '98'   count      1983813 ( 2%) time        18421 (  0.009286) LM    0,0,0(0)               load_multiple
14:11:48 HHC02292I Inst 'D5'   count      1830625 ( 1%) time        16447 (  0.008984) CLC   0(1,0),0(0)            compare_logical_character
14:11:48 HHC02292I Inst '1B'   count      1434225 ( 1%) time        10684 (  0.007449) SR    0,0                    subtract_register
14:11:48 HHC02292I Inst '95'   count      1415803 ( 1%) time        13431 (  0.009486) CLI   0(0),0                 compare_logical_immediate
14:11:48 HHC02292I Inst '05'   count      1359650 ( 1%) time        22027 (  0.016200) BALR  0,0                    branch_and_link_register
14:11:48 HHC02292I Inst '43'   count      1207714 ( 1%) time        11590 (  0.009597) IC    0,0(0,0)               insert_character
14:11:48 HHC02292I Inst '90'   count      1167623 ( 1%) time         8085 (  0.006924) STM   0,0,0(0)               store_multiple
14:11:48 HHC02292I Inst 'D2'   count      1121707 ( 1%) time        12157 (  0.010838) MVC   0(1,0),0(0)            move_character
14:11:48 HHC02292I Inst 'BF'   count      1091533 ( 1%) time         9783 (  0.008963) ICM   0,0,0(0)               insert_characters_under_mask
14:11:48 HHC02292I Inst '06'   count       993579 ( 1%) time         8845 (  0.008902) BCTR  0,0                    branch_on_count_register
14:11:48 HHC02292I Inst '1E'   count       962191 ( 1%) time         8801 (  0.009147) ALR   0,0                    add_logical_register
14:11:48 HHC02292I Inst '96'   count       927885 ( 0%) time        10630 (  0.011456) OI    0(0),0                 or_immediate
14:11:48 HHC02292I Inst '19'   count       900710 ( 0%) time         7843 (  0.008708) CR    0,0                    compare_register
14:11:48 HHC02292I Inst '48'   count       898673 ( 0%) time         8896 (  0.009899) LH    0,0(0,0)               load_halfword
14:11:48 HHC02292I Inst '94'   count       897105 ( 0%) time         9529 (  0.010622) NI    0(0),0                 and_immediate
14:11:48 HHC02292I Inst '45'   count       873551 ( 0%) time        13132 (  0.015033) BAL   0,0(0,0)               branch_and_link
14:11:48 HHC02292I Inst '5A'   count       828789 ( 0%) time         8182 (  0.009872) A     0,0(0,0)               add
14:11:48 HHC02292I Inst '59'   count       816431 ( 0%) time         7762 (  0.009507) C     0,0(0,0)               compare
14:11:48 HHC02292I Inst '92'   count       814966 ( 0%) time         9340 (  0.011461) MVI   0(0),0                 move_immediate
14:11:48 HHC02292I Inst '1A'   count       727232 ( 0%) time         6738 (  0.009265) AR    0,0                    add_register
14:11:48 HHC02292I Inst '4A'   count       627816 ( 0%) time         5945 (  0.009469) AH    0,0(0,0)               add_halfword
14:11:48 HHC02292I Inst '5E'   count       615216 ( 0%) time         5674 (  0.009223) AL    0,0(0,0)               add_logical
14:11:48 HHC02292I Inst '49'   count       585361 ( 0%) time         5248 (  0.008965) CH    0,0(0,0)               compare_halfword
14:11:48 HHC02292I Inst '89'   count       552463 ( 0%) time         4683 (  0.008477) SLL   0,0(0)                 shift_left_single_logical
14:11:48 HHC02292I Inst '54'   count       523955 ( 0%) time         5041 (  0.009621) N     0,0(0,0)               and
14:11:48 HHC02292I Inst '40'   count       425395 ( 0%) time         4333 (  0.010186) STH   0,0(0,0)               store_halfword
14:11:48 HHC02292I Inst '42'   count       405926 ( 0%) time         4101 (  0.010103) STC   0,0(0,0)               store_character
14:11:48 HHC02292I Inst '5D'   count       394789 ( 0%) time         3410 (  0.008638) D     0,0(0,0)               divide
14:11:48 HHC02292I Inst '5C'   count       387972 ( 0%) time         3224 (  0.008310) M     0,0(0,0)               multiply
14:11:48 HHC02292I Inst '88'   count       384587 ( 0%) time         3624 (  0.009423) SRL   0,0(0)                 shift_right_single_logical
14:11:48 HHC02292I Inst '55'   count       330582 ( 0%) time         3047 (  0.009217) CL    0,0(0,0)               compare_logical
14:11:48 HHC02292I Inst 'BE'   count       329588 ( 0%) time         3257 (  0.009882) STCM  0,0,0(0)               store_characters_under_mask
14:11:48 HHC02292I Inst '5B'   count       328429 ( 0%) time         2388 (  0.007271) S     0,0(0,0)               subtract
14:11:48 HHC02292I Inst '46'   count       308525 ( 0%) time         2887 (  0.009357) BCT   0,0(0,0)               branch_on_count
14:11:48 HHC02292I Inst '14'   count       294319 ( 0%) time         2586 (  0.008786) NR    0,0                    and_register
14:11:48 HHC02292I Inst '15'   count       289612 ( 0%) time         2613 (  0.009022) CLR   0,0                    compare_logical_register
14:11:48 HHC02292I Inst '16'   count       278103 ( 0%) time         2352 (  0.008457) OR    0,0                    or_register
14:11:48 HHC02292I Inst 'BA'   count       268083 ( 0%) time         2622 (  0.009781) CS    0,0,0(0)               compare_and_swap
14:11:48 HHC02292I Inst 'B20A' count       249106 ( 0%) time         1927 (  0.007736) SPKA  0(0)                   set_psw_key_from_address
14:11:48 HHC02292I Inst '5F'   count       210884 ( 0%) time         2021 (  0.009583) SL    0,0(0,0)               subtract_logical
14:11:48 HHC02292I Inst 'D7'   count       208865 ( 0%) time         2294 (  0.010983) XC    0(1,0),0(0)            exclusive_or_character
14:11:48 HHC02292I Inst '1D'   count       201764 ( 0%) time         1858 (  0.009209) DR    0,0                    divide_register
14:11:48 HHC02292I Inst '8B'   count       187516 ( 0%) time         1651 (  0.008805) SLA   0,0(0)                 shift_left_single
14:11:48 HHC02292I Inst '56'   count       172449 ( 0%) time         1553 (  0.009006) O     0,0(0,0)               or
